Date,Binned Minimum temperature (°C),Binned Maximum temperature (°C),Binned Mean Temperature (°C),Binned Rainfall (mm),Binned Evaporation (mm),Binned Sunshine (hours),Binned Speed of maximum wind gust (km/h)
2021/08/08,2,1,1,2,1,2,0
2021/08/12,3,2,2,12,3,2,4
2021/12/07,7,1,3,2,7,0,5
2021/09/24,5,2,3,0,6,4,10
2021/05/19,4,2,3,0,3,3,7
2021/02/27,5,2,3,0,5,0,1
2021/11/18,5,6,5,0,4,2,15
2021/11/02,5,7,6,0,5,6,8
2021/02/20,10,4,6,0,11,3,5
2021/02/09,5,5,5,0,3,6,3
2021/02/05,8,7,7,1,6,4,10
2021/06/26,4,0,2,24,0,2,3
2021/04/08,7,6,7,0,3,2,8
2022/02/01,10,4,6,0,8,4,10
2021/07/19,4,0,1,0,1,1,4
2022/02/25,9,4,5,0,4,2,6
2021/12/25,8,4,5,0,5,3,7
2021/06/16,3,1,2,7,1,1,7
2021/05/24,2,3,2,0,2,2,4
2022/01/04,8,4,5,0,6,0,8
2021/06/15,2,1,1,0,0,0,2
2022/03/10,5,3,4,0,5,5,6
2022/01/31,10,8,9,0,3,5,2
2021/10/02,6,2,3,49,2,1,3
2021/09/19,3,2,2,3,4,1,11
2021/05/13,3,2,2,0,1,0,7
2021/09/04,4,1,2,164,3,2,8
2021/08/23,5,1,2,3,5,2,10
2021/10/14,3,3,3,63,5,5,7
2022/02/16,8,5,6,0,4,1,1
2021/11/21,5,2,3,0,4,4,7
2021/11/11,3,1,2,42,2,3,7
2022/03/04,9,8,8,0,6,2,3
2021/06/09,3,1,1,17,1,0,15
2021/03/17,6,5,6,0,2,5,2
2021/06/11,2,1,1,1,0,0,2
2022/03/03,8,7,7,0,3,6,2
2021/05/16,3,1,2,0,2,1,5
2021/10/23,6,1,3,62,6,0,7
2021/07/25,2,0,1,3,3,3,9
2021/12/22,7,3,4,0,6,3,3
2021/11/27,5,3,4,0,4,6,9
2021/05/23,2,3,2,0,2,4,2
2021/12/17,4,7,6,0,5,5,4
2021/06/25,4,0,2,2,2,0,6
2021/02/11,8,8,8,0,6,2,9
2021/03/29,6,2,4,4,2,4,5
2021/03/26,5,4,4,0,2,3,5
2021/12/12,4,6,5,0,5,6,3
2021/03/03,6,2,4,0,3,1,5
2021/09/18,5,1,3,3,4,4,10
2022/02/02,7,3,4,13,7,0,7
2021/08/30,2,2,2,17,1,3,10
2021/03/20,6,5,5,0,4,2,4
2022/02/14,9,7,8,0,10,6,9
2021/03/31,5,4,4,0,2,4,1
2021/08/31,5,3,3,0,4,1,13
2022/01/18,8,3,5,0,6,3,7
2021/07/26,3,1,2,0,0,1,8
2021/04/30,4,5,4,0,0,5,4
2022/01/20,6,7,6,0,8,6,4
2021/04/19,5,3,4,0,2,1,4
2021/12/28,5,4,4,0,6,6,7
2021/10/05,5,2,3,9,4,2,11
2022/03/17,8,6,7,0,3,2,5
2021/02/02,7,3,4,0,2,1,7
2021/12/01,9,8,8,0,9,2,8
2021/07/07,2,0,1,0,0,1,5
2021/04/17,5,2,3,0,2,1,2
2021/06/07,4,2,3,0,0,1,12
2021/04/15,6,3,4,0,6,2,7
2021/10/21,6,5,5,0,4,1,7
2022/01/01,10,9,9,0,13,4,5
2021/05/11,4,1,2,67,2,0,7
