,Binned_Total_Demand,Binned Minimum temperature (°C),Binned Maximum temperature (°C),Binned Mean Temperature (°C),Binned Rainfall (mm),Binned Evaporation (mm),Binned Speed of maximum wind gust (km/h),Binned TOTAL DEMAND
0,3,4,7,5,0,4,3,3
1,4,4,3,3,4,2,5,4
2,5,6,4,4,93,2,4,5
3,4,3,1,1,41,3,7,4
4,7,1,2,1,0,2,4,7
5,4,5,6,4,0,4,11,4
6,6,6,4,4,0,5,7,6
7,6,4,3,2,0,2,3,6
8,7,3,2,2,0,1,0,7
9,6,2,2,1,77,5,4,6
10,6,9,8,7,0,5,7,6
11,12,10,10,8,0,3,2,12
12,5,9,8,7,0,1,6,5
13,4,7,9,6,0,3,6,4
14,5,7,4,4,0,8,4,5
15,5,7,4,4,19,2,4,5
16,4,4,7,4,0,4,16,4
17,9,4,2,2,1,1,4,9
18,7,7,8,6,0,3,3,7
19,0,4,4,3,0,5,4,0
20,4,4,5,3,0,5,6,4
21,12,5,4,3,7,1,6,12
22,7,9,9,8,50,9,8,7
23,8,3,1,1,51,2,16,8
24,3,4,4,3,0,3,13,3
25,6,6,7,6,0,6,5,6
26,7,8,9,7,0,9,6,7
27,6,3,1,1,6,4,8,6
28,7,3,2,2,0,2,4,7
29,12,4,0,1,2,1,12,12
30,5,2,4,2,0,2,13,5
31,4,4,3,2,0,2,12,4
32,6,2,1,1,0,2,7,6
33,2,5,6,4,0,5,8,2
34,3,5,4,3,0,3,2,3
35,9,4,1,1,0,1,4,9
36,3,2,2,1,4,3,6,3
37,4,2,0,0,0,3,6,4
38,5,8,9,7,0,6,12,5
39,9,4,2,2,0,1,6,9
40,10,3,0,1,12,3,10,10
41,10,1,2,1,0,3,7,10
42,5,6,3,3,0,4,4,5
43,12,10,9,8,0,8,4,12
44,3,7,7,6,0,5,5,3
45,4,5,3,3,0,5,8,4
46,4,7,7,5,0,5,11,4
47,3,6,6,5,0,4,4,3
48,3,8,7,6,0,4,8,3
49,2,4,1,1,9,4,7,2
50,6,9,4,5,0,4,4,6
51,5,5,4,3,0,5,4,5
52,8,3,2,2,0,0,7,8
53,4,6,8,6,0,5,0,4
54,12,0,0,0,1,1,2,12
55,7,2,3,2,2,0,13,7
56,3,3,5,3,0,3,3,3
57,7,4,1,1,4,3,10,7
58,2,6,3,3,0,4,5,2
59,4,4,7,5,0,5,3,4
60,9,5,2,2,0,3,6,9
61,7,4,2,2,0,2,4,7
62,3,6,5,4,0,5,9,3
63,4,2,4,2,0,3,9,4
64,11,1,0,0,6,1,3,11
65,4,4,2,2,0,4,7,4
66,8,6,3,3,0,4,9,8
67,9,2,1,1,2,1,4,9
68,6,4,4,3,0,1,3,6
69,6,6,4,4,0,3,6,6
70,5,6,6,5,0,5,8,5
71,5,3,2,2,17,5,8,5
72,9,2,1,1,0,0,2,9
73,3,5,5,4,0,2,4,3
74,5,6,7,5,0,3,8,5
75,5,5,2,3,0,7,4,5
76,6,4,5,4,0,2,1,6
77,8,2,1,1,9,0,6,8
78,7,4,1,1,1,4,10,7
79,3,8,6,5,6,7,7,3
80,3,6,3,3,0,4,4,3
81,4,7,6,5,0,6,4,4
82,8,1,0,0,34,2,8,8
83,7,4,3,2,0,2,7,7
84,5,3,3,2,63,5,7,5
85,7,6,9,6,0,6,4,7
86,7,2,2,2,0,0,3,7
87,6,5,4,3,0,2,4,6
88,3,7,6,5,0,6,15,3
89,4,5,5,4,0,5,4,4
90,6,3,1,1,0,1,3,6
91,10,1,0,0,5,1,4,10
92,9,4,1,1,1,0,7,9
93,5,5,6,4,0,3,4,5
94,10,2,1,1,0,1,2,10
95,9,4,2,2,0,0,8,9
96,5,2,5,3,0,4,2,5
97,4,5,3,3,0,2,12,4
98,5,6,3,3,4,2,6,5
99,5,6,10,7,0,5,4,5
100,3,7,3,4,0,4,4,3
101,7,8,8,6,0,7,5,7
102,6,2,2,1,40,0,5,6
103,2,6,7,5,0,6,5,2
104,4,6,3,3,0,1,8,4
105,6,3,1,1,0,2,6,6
106,9,2,1,1,0,2,14,9
107,7,2,2,1,0,0,4,7
108,4,7,4,4,0,2,8,4
109,7,9,7,6,8,5,4,7
110,4,6,8,6,0,4,8,4
111,4,4,2,2,113,1,12,4
112,10,0,2,0,0,1,8,10
113,10,0,1,0,0,0,0,10
114,4,2,4,2,0,3,2,4
115,7,0,2,0,0,2,1,7
116,7,8,4,5,59,0,4,7
117,6,9,9,7,0,4,2,6
118,6,7,9,7,0,6,10,6
119,8,9,6,6,0,3,1,8
120,4,4,2,2,8,2,8,4
121,6,7,2,3,0,3,4,6
122,7,10,5,6,0,10,5,7
123,6,3,2,1,2,5,5,6
124,3,4,2,2,1,3,2,3
125,6,8,4,4,2,1,5,6
126,6,4,2,2,0,1,0,6
127,8,2,1,1,0,1,10,8
128,9,2,0,0,0,0,9,9
129,7,9,8,7,0,6,6,7
130,2,7,4,4,0,1,4,2
131,5,4,2,2,11,0,2,5
132,6,5,3,3,14,1,2,6
133,2,6,4,4,2,5,3,2
134,3,6,4,4,0,4,6,3
135,9,4,1,1,8,0,6,9
136,3,4,7,4,0,1,3,3
137,5,6,2,3,26,5,6,5
138,2,5,5,4,0,5,7,2
139,5,5,4,3,0,3,4,5
140,3,5,6,4,0,5,3,3
141,6,4,3,3,0,5,7,6
142,6,5,1,2,42,4,3,6
143,4,5,4,3,0,5,6,4
144,6,10,6,6,6,6,4,6
145,6,6,3,3,23,0,5,6
146,7,3,2,2,0,0,5,7
147,1,5,2,2,0,4,7,1
148,10,4,0,1,2,1,6,10
149,3,8,4,5,20,2,9,3
150,4,7,4,4,8,4,7,4
151,6,5,2,2,9,4,12,6
152,8,5,2,2,2,1,1,8
153,8,4,1,2,1,0,4,8
154,10,0,1,0,0,0,3,10
155,2,5,3,3,0,3,6,2
156,5,3,4,3,0,1,8,5
157,10,3,1,1,1,1,6,10
158,3,5,2,2,66,4,4,3
159,11,0,2,0,0,1,4,11
160,6,5,8,6,0,8,4,6
161,2,4,7,5,0,5,4,2
162,9,3,2,1,0,0,8,9
163,4,8,4,5,0,6,7,4
164,7,2,3,2,3,2,2,7
165,9,4,1,1,1,1,4,9
166,6,2,0,0,31,1,12,6
167,8,5,1,2,21,2,7,8
168,5,3,1,1,4,1,5,5
169,4,5,2,2,0,1,4,4
170,5,9,5,6,25,7,4,5
