Date,Binned_Total_Demand,Binned Minimum temperature (°C),Binned Maximum temperature (°C),Binned Mean Temperature (°C),Binned Evaporation (mm),Binned Sunshine (hours),Binned Speed of maximum wind gust (km/h),Binned TOTAL DEMAND
2021/08/08,23,5,5,5,1,3,0,23
2021/08/12,30,9,6,7,4,2,2,30
2021/12/07,21,20,5,11,7,0,2,21
2021/09/24,11,14,8,11,6,5,5,11
2021/05/19,27,12,8,10,3,3,3,27
2021/02/27,15,14,8,11,5,0,0,15
2021/11/18,16,13,18,18,4,3,8,16
2021/11/02,6,14,21,19,5,7,4,6
2021/02/20,27,28,14,20,12,3,2,27
2021/02/09,17,15,16,16,3,7,2,17
2021/02/05,26,23,21,23,7,5,6,26
2021/06/26,26,12,2,5,0,2,2,26
2021/04/08,23,20,20,22,4,2,4,23
2022/02/01,22,27,14,19,8,4,5,22
2021/07/19,37,11,1,5,1,1,2,37
2022/02/25,17,25,12,17,4,3,3,17
2021/12/25,2,23,12,16,6,3,3,2
2021/06/16,33,9,5,7,2,1,4,33
2021/05/24,27,7,10,9,2,2,2,27
2022/01/04,14,22,13,17,6,0,4,14
2021/06/15,33,7,5,5,0,0,1,33
2022/03/10,16,15,10,13,6,6,3,16
2022/01/31,42,28,26,27,4,6,1,42
2021/10/02,14,17,6,11,2,2,2,14
2021/09/19,14,10,7,8,5,1,6,14
2021/05/13,30,9,7,8,1,0,3,30
2021/09/04,17,12,3,6,4,2,4,17
2021/08/23,26,13,3,6,6,3,5,26
2021/10/14,20,9,9,9,5,5,3,20
2022/02/16,26,22,16,18,5,1,0,26
2021/11/21,5,15,6,10,4,5,3,5
2021/11/11,17,10,5,8,2,4,3,17
2022/03/04,36,25,24,26,7,3,2,36
2021/06/09,38,9,3,5,1,0,8,38
2021/03/17,22,18,17,18,2,5,1,22
2021/06/11,32,7,4,5,0,0,1,32
2022/03/03,33,24,22,23,3,7,1,33
2021/05/16,22,9,4,6,2,1,3,22
2021/10/23,15,16,5,9,6,0,3,15
2021/07/25,29,5,1,3,3,4,5,29
2021/12/22,14,21,9,14,6,3,2,14
2021/11/27,3,14,11,13,5,7,5,3
2021/05/23,19,6,10,8,3,5,1,19
2021/12/17,20,12,22,20,6,5,2,20
2021/06/25,37,13,2,6,2,0,3,37
2021/02/11,35,23,25,26,7,3,5,35
