Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2021/03/07,11.3,28.5,19.9,0.0,6.0,7.9,26.0
2021/08/21,10.6,20.0,15.3,1.0,3.6,10.2,33.0
2021/10/01,13.6,22.2,17.9,21.8,2.8,5.8,30.0
2021/09/05,8.3,13.6,10.95,9.6,4.4,6.4,39.0
2021/09/15,5.3,15.9,10.6,0.2,3.0,10.8,31.0
2021/09/09,12.2,25.8,19.0,0.0,5.2,8.5,52.0
2021/04/15,14.0,20.2,17.1,0.0,7.4,5.4,39.0
2021/03/30,9.8,18.9,14.35,0.0,3.6,10.2,26.0
2021/06/14,9.7,16.4,13.049999999999999,0.0,1.4,1.6,15.0
2021/08/01,8.0,15.7,11.85,18.0,6.8,9.0,30.0
2022/01/06,18.3,30.2,24.25,0.0,6.6,9.9,39.0
2022/01/31,20.1,34.0,27.05,0.0,4.4,10.9,22.0
2022/01/05,18.5,29.3,23.9,0.0,1.8,5.0,37.0
2021/04/03,15.1,31.6,23.35,0.0,4.4,10.9,37.0
2021/12/14,15.9,21.0,18.45,0.0,10.4,11.2,31.0
2021/03/25,15.5,21.1,18.3,4.6,2.8,3.1,31.0
2021/11/18,10.9,26.9,18.9,0.0,5.0,5.2,67.0
2021/08/05,9.8,15.8,12.8,0.4,1.6,3.9,31.0
2021/03/12,14.9,30.3,22.6,0.0,4.0,10.1,26.0
2021/11/28,9.8,22.1,15.950000000000001,0.0,7.0,12.1,30.0
2021/09/01,9.8,23.5,16.65,0.0,6.6,10.7,35.0
2021/07/08,11.906116207951069,20.65718654434252,16.281651376146794,1.786544342507645,1.8,8.3,35.862385321100916
2021/12/02,18.4,33.0,25.7,11.8,12.2,8.8,41.0
2021/06/10,9.7,15.1,12.399999999999999,12.0,3.6,0.3,67.0
2021/08/22,11.3,22.2,16.75,0.0,4.0,10.6,57.0
2022/02/07,14.7,28.6,21.65,0.0,8.2,13.1,33.0
2022/01/22,17.7,32.3,25.0,0.0,12.0,13.3,35.0
2021/11/15,8.7,13.8,11.25,1.6,5.0,6.0,41.0
2021/08/19,8.2,17.4,12.799999999999999,0.0,2.6,8.3,31.0
2021/07/20,9.9,11.4,10.65,0.6,2.2,0.3,54.0
2021/09/17,7.1,22.2,14.649999999999999,0.0,3.6,5.8,59.0
2021/08/15,10.1,19.0,14.55,0.0,3.0,9.1,54.0
2021/06/06,6.7,14.7,10.7,0.0,2.6,4.2,39.0
2021/10/09,11.5,24.8,18.15,0.0,7.2,8.1,43.0
2021/03/28,12.4,20.2,16.3,0.0,4.4,3.9,24.0
2021/08/06,10.7,14.2,12.45,0.2,2.2,0.6,28.0
2021/10/30,7.3,15.9,11.6,1.0,4.2,7.8,35.0
2021/09/25,7.1,12.8,9.95,0.0,4.6,5.9,37.0
2022/02/13,17.1,32.1,24.6,0.0,8.6,9.1,54.0
2021/07/01,10.5,17.2,13.85,0.0,1.4,8.9,35.0
2021/06/08,9.3,13.2,11.25,3.0,4.8,2.3,48.0
2021/06/01,5.7,15.7,10.7,0.0,4.0,1.3,39.0
2021/03/08,13.7,19.6,16.65,0.2,6.0,0.0,31.0
2022/01/25,20.1,31.4,25.75,0.0,10.0,12.8,30.0
2022/02/12,15.7,28.3,22.0,0.0,6.4,12.4,33.0
2021/02/23,13.1,19.2,16.15,0.0,7.2,8.5,43.0
2022/01/19,15.4,26.7,21.05,0.0,7.2,13.6,52.0
2021/03/20,14.0,26.0,20.0,0.0,5.4,5.3,31.0
2021/11/06,16.6,27.0,21.8,0.0,5.4,4.3,43.0
2021/10/10,10.0,14.9,12.45,2.2,5.4,7.6,39.0
2022/03/18,19.1,21.7,20.4,0.0,5.0,2.0,31.0
2021/03/10,12.2,20.1,16.15,0.2,6.8,7.2,30.0
2021/05/13,8.1,17.6,12.850000000000001,0.0,1.2,1.0,39.0
2021/04/02,13.5,30.6,22.05,0.0,6.6,10.8,15.0
2021/07/05,4.6,13.1,8.85,0.4,1.6,1.9,22.0
2021/04/13,7.8,20.0,13.9,0.6,0.0,2.5,59.0
2021/11/01,8.7,23.2,15.95,0.0,4.6,12.5,26.0
2021/11/12,11.0,14.0,12.5,1.0,4.4,0.0,50.0
2021/03/06,14.2,19.4,16.799999999999997,0.0,5.6,10.0,33.0
2021/11/29,10.1,28.7,19.4,0.0,6.4,12.5,26.0
2021/05/20,12.0,17.0,14.5,0.0,4.0,0.2,37.0
2021/09/07,10.5,16.2,13.35,0.0,3.2,4.9,31.0
2021/09/11,13.2,22.8,18.0,0.0,6.4,1.1,46.0
2021/10/08,7.0,20.8,13.9,0.0,4.0,11.7,44.0
2021/06/18,6.1,13.2,9.649999999999999,1.6,1.8,0.1,26.0
2021/09/12,10.3,16.2,13.25,0.0,5.2,7.3,39.0
2021/04/20,14.0,18.7,16.35,0.0,5.6,1.9,44.0
2021/08/04,7.8,14.5,11.15,0.6,1.8,3.4,31.0
2021/03/16,11.1,20.6,15.850000000000001,0.0,2.2,8.0,26.0
2021/03/04,13.6,21.4,17.5,0.0,4.0,2.6,35.0
2021/11/23,14.7,26.1,20.4,0.0,6.8,2.4,43.0
2021/10/07,9.4,16.4,12.899999999999999,4.0,6.2,10.3,43.0
2021/06/15,7.0,15.6,11.3,0.0,0.8,0.0,24.0
2022/03/12,11.7,22.6,17.15,0.0,3.4,10.7,28.0
