,Date,TOTAL DEMAND
0,2021/06/03,5178.89
1,2021/07/07,5964.84
2,2021/04/18,4345.54
3,2021/09/19,4246.08
4,2021/08/09,5395.07
5,2021/05/06,5108.99
6,2021/07/03,5515.75
7,2021/09/18,4072.97
8,2022/02/05,3860.07
9,2021/10/27,4124.08
10,2021/02/10,5192.52
11,2021/11/26,4153.58
12,2021/05/29,4904.46
13,2021/11/24,4621.43
14,2022/02/11,4223.64
15,2021/05/18,5539.66
16,2022/02/27,4323.86
17,2021/02/12,4762.42
18,2021/08/11,5122.97
19,2021/08/31,4719.59
20,2021/11/02,3707.69
21,2021/11/17,4518.25
22,2021/03/19,4714.17
23,2021/02/24,4524.05
24,2021/06/05,5109.72
25,2022/03/04,5688.97
26,2021/04/12,5108.69
27,2021/03/02,4630.56
28,2021/02/02,4422.4
29,2021/04/22,5154.41
30,2021/11/11,4402.81
31,2021/10/12,4482.09
32,2021/07/02,5582.96
33,2021/12/07,4714.37
34,2021/07/21,5917.17
35,2021/07/28,5319.07
36,2021/07/10,5485.58
37,2022/01/23,5144.54
38,2021/02/19,5725.82
39,2021/07/09,6099.85
40,2021/10/20,4209.38
41,2021/08/14,4677.52
42,2022/02/04,4121.71
43,2021/03/18,4840.95
44,2021/11/14,4127.68
45,2021/10/31,3735.4
46,2021/03/03,4697.81
47,2022/01/08,4098.05
48,2021/03/22,4758.01
49,2021/08/02,5250.08
50,2021/05/01,4199.08
51,2021/03/17,4759.07
52,2021/03/13,4457.83
53,2021/05/30,4920.5
54,2021/07/25,5219.97
55,2021/07/11,5053.55
56,2022/02/08,4959.49
57,2022/01/27,6183.4
58,2022/01/14,5669.71
59,2021/10/02,4244.55
60,2021/03/11,4893.5
61,2021/10/21,4350.62
62,2022/03/14,4370.21
63,2021/11/13,4322.3
64,2022/01/13,5353.12
65,2021/04/17,4439.3
66,2022/01/02,4480.78
67,2021/03/01,4483.01
68,2021/06/11,5437.73
69,2021/02/08,4341.75
70,2021/03/15,4721.75
71,2021/06/17,5873.18
72,2022/01/17,4801.27
73,2021/06/07,5116.0
74,2021/11/16,5137.23
75,2021/09/04,4395.93
76,2021/02/07,3827.72
77,2021/12/22,4200.38
78,2021/04/24,4586.88
79,2021/07/06,6105.06
80,2022/01/12,4971.09
81,2021/09/03,4750.68
82,2022/01/01,4949.38
