userid,utype,domain,followers,friends,total_tweets,years,per_rt,chars,chars_rt,commas,commas_rt,periods,periods_rt,quesmark,quesmark_rt,exmark,exmark_rt,colon,colon_rt,semi,semi_rt,punc,punc_rt,tagpermsg,tagpermsg_rt,mentpermsg,mentpermsg_rt,urlpermsg,urlpermsg_rt,percent_msgwithment,percent_msgwithment_rt,percent_msgwithtag,percent_msgwithtag_rt,percent_msgwithurl,percent_msgwithurl_rt,first,verb_phrase,noun_phrase,interj,stopwords,slang,sentiment,entity,active_vb,modal_vb,negative_vb,dt,num_en,org_avg_d,org_med,org_avg_d_np,org_med_np,org_avg_d_vp,org_med_vp,pot_org,rt_avg_d,rt_med,rt_avg_d_np,rt_med_np,rt_avg_d_vp,rt_med_vp,pot_rt,lexco,glowbe_glowbe_dist_minval,glowbe_glowbe_dist_min3val,glowbe_glowbe_dist_minval_rt,glowbe_glowbe_dist_min3val_rt,glowbe_us_count_minval,glowbe_us_count_min3val, topic_coherence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5480470996,between100-10msgs,Technology,1796,165,45,3.043835616,0.844444444,77.28571429,124.0526316,0.285714286,0.236842105,1.571428571,1.947368421,0,0.131578947,0,0,1.142857143,2.631578947,0,0.105263158,3,5.052631579,0,1.657894737,1,1.421052632,0.428571429,1,0.571428571,1,0,0.710526316,0.428571429,0.947368421,0.086956522,0.652173913,2.695652174,1,0.695652174,0.260869565,0.043478261,0.47826087,0.217391304,0.086956522,0.217391304,0.173913043,23,3.428571429,3,2,2,5,0,0.857142857,4.324324324,3,2.72972973,2,4.722222222,0,0.789473684,0.012117083,0.617113835,0.331242762,0.488427627,0.291997354,None,None,None,0.036882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7280696314,morethan100msgs,Fitness,1699,1023,352,2.126027397,1,0,132.2443182,0,0.414772727,0,1.40625,0,0.073863636,0,0.386363636,0,2.411931818,0,0.090909091,0,4.784090909,0,3.363636364,0,1.284090909,0,1.085227273,0,1,0,1,0,1,0.629411765,1.276470588,3.988235294,0.4,2.641176471,1.311764706,0.282352941,0.794117647,0.347058824,0.347058824,1.029411765,0.541176471,170,0,0,0,0,0,0,0,5.436090226,5,3.171875,2,4.755102041,3,0.876811594,0.007826719,None,None,0.261836391,0.410253568,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570594151,morethan100msgs,Technology,6382,6244,5,5.22739726,0,61.2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0.6,0,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9433661207,Random,Unknown,622,823,7,5.926027397,1,0,139.8571429,0,0.428571429,0,1.571428571,0,0.142857143,0,0.142857143,0,2.285714286,0,0,0,4.571428571,0,1.285714286,0,1.714285714,0,1.428571429,0,1,0,0.857142857,0,0.857142857,0.75,0.25,3.25,0.25,0.75,1.25,0.5,1.25,0,0.75,1.5,0.5,4,0,0,0,0,0,0,0,6.142857143,5,3.285714286,3,5.5,4,1,0,None,None,0.25904362,0.379199207,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6857720553,between100-10msgs,Technology,10766,9886,1,5.043835616,1,0,139,0,0,0,2,0,1,0,1,0,3,0,0,0,7,0,1,0,1,0,2,0,1,0,1,0,1,0,3,5,0,3,3,0,0,2,1,1,1,1,6,6,2,2,5,5,1,5.720588235,5.5,3.264705882,2,5.094339623,4,0.911764706,0.009726676,None,None,0.271886777,0.262541346,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8605225924,between10-3msgs,Technology,238,233,19,6.8,0.157894737,119.25,140,0.375,0,1.625,1,0.0625,0,0.0625,0,0.875,1,0,0,3,2,0.6875,0,0.8125,1.333333333,0.5,0.333333333,0.5,1,0.4375,0,0.5,0.333333333,0.133333333,2.2,5.333333333,0.133333333,4.4,0.533333333,1,0.6,0.733333333,0.266666667,1.533333333,0.933333333,15,8.4375,9,3.375,2,8.142857143,8,0.9375,7.666666667,8,4,3,5.333333333,6,1,0.011448461,0.537036896,0.317667655,0.430555518,0.26892476,5,39.333333,0.053755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3352398905,Random,Unknown,432,416,1,4.164383562,1,0,113,0,0,0,1,0,0,0,2,0,2,0,0,0,5,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,2,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,4,4,2,2,3,3,1,0,None,None,0.1331757,0.145064253,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2783981699,between10-3msgs,Science,414,791,29,2.920547945,0.896551724,87.66666667,124.5384615,0.666666667,0.115384615,1.333333333,1.461538462,0,0.076923077,0.333333333,0.461538462,0.333333333,2.192307692,0,0.076923077,2.666666667,4.384615385,1.333333333,0.538461538,1,1.384615385,0,0.730769231,0.333333333,1,0.666666667,0.307692308,0,0.730769231,0.6,1.066666667,3.866666667,0.4,2.733333333,1,0.333333333,0.466666667,0.066666667,0.2,0.666666667,0.733333333,15,4.333333333,5,3,2,3,0,0.666666667,5.538461538,6,3.846153846,3,4.523809524,3,0.923076923,0.01058113,0.384433582,0.18399583,0.399654149,0.240557643,1206,1987.333333,0.02833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5416149927,between10-3msgs,Fitness,14357,9843,184,8.164383562,0.163043478,107.0779221,117.0333333,0.064935065,0.5,1.694805195,1.866666667,0.233766234,0.033333333,0.24025974,0.133333333,1.162337662,2.333333333,0.103896104,0,3.5,4.866666667,1.603896104,0.6,0.928571429,1.233333333,1.051948052,1.133333333,0.597402597,1,0.688311688,1,0.915584416,1,0.209302326,1.286821705,3.565891473,0.147286822,2.92248062,0.899224806,0.209302326,0.372093023,0.271317829,0.511627907,0.891472868,1.046511628,129,5.948051948,5.5,3.513333333,3,5.203252033,4,0.935064935,6.7,6,3.666666667,3.5,5.92,4.5,1,0.035342829,0.448925891,0.255455835,0.4675853,0.286355084,None,None,None,0.067766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127594474,expert,Science,23380,794,23,6.901369863,0,110.2608696,0,0.304347826,0,1.130434783,0,0,0,0,0,0.956521739,0,0,0,2.391304348,0,0.043478261,0,1.086956522,0,0.782608696,0,0.739130435,0,0.043478261,0,0.782608696,0,0.263157895,1.157894737,4.210526316,0.157894737,3.789473684,0.473684211,0.263157895,0.736842105,0.210526316,0.263157895,0.894736842,1,19,5.565217391,5,3.454545455,3,4.6875,4,0.913043478,0,0,0,0,0,0,0,0.023308357,0.387843,0.231212414,None,None,None,None,None,0.022896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227311673,between100-10msgs,Fitness,435,432,6,2.936986301,0,126.3333333,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0,0.666666667,0,8,0,0,0,0,0,0,0,1,0,0,0,0.333333333,1.666666667,3.5,0,0.666666667,0.166666667,0.666666667,0,0.166666667,0,0,0,6,6.75,6.5,2.5,2,5.5,5.5,0.666666667,0,0,0,0,0,0,0,0,0.32987355,0.183848951,None,None,361,499,0.018014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2312450899,morethan100msgs,Technology,10863,1648,6,2.465753425,1,0,122.6666667,0,0.333333333,0,2.5,0,0,0,0,0,2.5,0,0,0,5.333333333,0,1.833333333,0,1,0,1,0,1,0,1,0,1,0,1.666666667,7,0,2.666666667,0,0,1.666666667,0,0,0.333333333,0.666666667,3,6,6,3,3,7,3.5,0.5,5.707865169,5,3.179775281,2,5.092307692,3,0.95505618,0.020062093,None,None,0.275920293,0.426871044,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4775778556,mentioned,Technology,112959,2100,3,6.78630137,0,131.3333333,0,0,0,1.666666667,0,0.333333333,0,0,0,1.333333333,0,0,0,3.333333333,0,0.666666667,0,0.333333333,0,1,0,0.333333333,0,0.666666667,0,1,0,0.333333333,3.333333333,7.666666667,0,5.666666667,0.333333333,1,1.333333333,0.333333333,0,2,0.666666667,3,6.308823529,6,3.588235294,2,5.517857143,5,0.955882353,6.2,5,2.8,2,5,4,1,0.039533122,0.291234186,0.173729639,None,None,290,3847,0.007041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383959893,between10-3msgs,Technology,170,245,24,4.660273973,0,109.375,0,0.041666667,0,1.166666667,0,0.083333333,0,0.125,0,1.75,0,0.041666667,0,3.208333333,0,3.458333333,0,0,0,0.958333333,0,0,0,1,0,0.958333333,0,0.913043478,0.434782609,3.52173913,0.304347826,0.826086957,1.217391304,0.086956522,0.652173913,0.173913043,0.913043478,0.565217391,0.217391304,23,3.5,3,2.291666667,2,4,0,0.958333333,0,0,0,0,0,0,0,0.015554707,0.338119575,0.202714228,None,None,None,None,None,0.089631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
